"language","city","totalCount"
"VB","郑州","0"
"Delphi","郑州","1"
"Perl","郑州","0"
"Ruby","郑州","0"
"Hadoop","郑州","0"
"Node.js","郑州","2"
"JavaScript","郑州","4"
"U3D","郑州","5"
" COCOS2D-X","郑州","1"
"Android","郑州","106"
"iOS","郑州","118"
"WP","郑州","0"
"Java","青岛","90"
"Python","青岛","1"
"PHP","青岛","92"
".NET","青岛","44"
"C#","青岛","6"
"C++","青岛","6"
"C","青岛","6"
"VB","青岛","0"
"Delphi","青岛","1"
"Perl","青岛","0"
"Ruby","青岛","1"
"Hadoop","青岛","3"
"Node.js","青岛","0"
"JavaScript","青岛","3"
"U3D","青岛","2"
" COCOS2D-X","青岛","5"
"Android","青岛","64"
"iOS","青岛","49"
"WP","青岛","0"
"Java","合肥","156"
"Python","合肥","1"
"PHP","合肥","88"
".NET","合肥","21"
"C#","合肥","9"
"C++","合肥","16"
"C","合肥","19"
"VB","合肥","0"
"Delphi","合肥","0"
"Perl","合肥","0"
"Ruby","合肥","0"
"Hadoop","合肥","3"
"Node.js","合肥","0"
"JavaScript","合肥","7"
"U3D","合肥","1"
" COCOS2D-X","合肥","0"
"Android","合肥","68"
"iOS","合肥","48"
"WP","合肥","1"
"Java","福州","73"
"Python","福州","4"
"PHP","福州","54"
".NET","福州","15"
"C#","福州","6"
"C++","福州","14"
"C","福州","14"
"VB","福州","0"
"Delphi","福州","1"
"Perl","福州","1"
"Ruby","福州","0"
"Hadoop","福州","0"
"Node.js","福州","2"
"JavaScript","福州","4"
"U3D","福州","5"
" COCOS2D-X","福州","0"
"Android","福州","56"
"iOS","福州","46"
"WP","福州","0"
"Java","济南","94"
"Python","济南","4"
"PHP","济南","63"
".NET","济南","22"
"C#","济南","8"
"C++","济南","22"
"C","济南","23"
"VB","济南","0"
"Delphi","济南","0"
"Perl","济南","0"
"Ruby","济南","0"
"Hadoop","济南","1"
"Node.js","济南","0"
"JavaScript","济南","1"
"U3D","济南","1"
" COCOS2D-X","济南","0"
"Android","济南","67"
"iOS","济南","45"
"WP","济南","1"
"Java","大连","108"
"Python","大连","3"
"PHP","大连","33"
".NET","大连","18"
"C#","大连","15"
"C++","大连","11"
"C","大连","14"
"VB","大连","0"
"Delphi","大连","0"
"Perl","大连","0"
"Ruby","大连","1"
"Hadoop","大连","2"
"Node.js","大连","1"
"JavaScript","大连","1"
"U3D","大连","5"
" COCOS2D-X","大连","0"
"Android","大连","49"
"iOS","大连","38"
"WP","大连","0"
"Java","珠海","83"
"Python","珠海","4"
"PHP","珠海","65"
".NET","珠海","16"
"C#","珠海","13"
"C++","珠海","16"
"C","珠海","16"
"VB","珠海","0"
"Delphi","珠海","0"
"Perl","珠海","0"
"Ruby","珠海","0"
"Hadoop","珠海","1"
"Node.js","珠海","4"
"JavaScript","珠海","1"
"U3D","珠海","5"
" COCOS2D-X","珠海","3"
"Android","珠海","58"
"iOS","珠海","47"
"WP","珠海","0"
"Java","无锡","73"
"Python","无锡","1"
"PHP","无锡","25"
".NET","无锡","40"
"C#","无锡","9"
"C++","无锡","7"
"C","无锡","7"
"VB","无锡","0"
"Delphi","无锡","0"
"Perl","无锡","0"
"Ruby","无锡","0"
"Hadoop","无锡","0"
"Node.js","无锡","0"
"JavaScript","无锡","2"
"U3D","无锡","1"
" COCOS2D-X","无锡","2"
"Android","无锡","55"
"iOS","无锡","35"
"WP","无锡","0"
"Java","佛山","58"
"Python","佛山","3"
"PHP","佛山","27"
".NET","佛山","9"
"C#","佛山","3"
"C++","佛山","2"
"C","佛山","2"
"VB","佛山","0"
"Delphi","佛山","2"
"Perl","佛山","0"
"Ruby","佛山","0"
"Hadoop","佛山","4"
"Node.js","佛山","0"
"JavaScript","佛山","0"
"U3D","佛山","4"
" COCOS2D-X","佛山","1"
"Android","佛山","27"
"iOS","佛山","18"
"WP","佛山","0"
"Java","东莞","41"
"Python","东莞","0"
"PHP","东莞","41"
".NET","东莞","23"
"C#","东莞","5"
"C++","东莞","4"
"C","东莞","4"
"VB","东莞","0"
"Delphi","东莞","0"
"Perl","东莞","0"
"Ruby","东莞","0"
"Hadoop","东莞","1"
"Node.js","东莞","0"
"JavaScript","东莞","1"
"U3D","东莞","0"
" COCOS2D-X","东莞","0"
"Android","东莞","37"
"iOS","东莞","33"
"WP","东莞","0"
"Java","宁波","43"
"Python","宁波","0"
"PHP","宁波","23"
".NET","宁波","12"
"C#","宁波","5"
"C++","宁波","6"
"C","宁波","8"
"VB","宁波","0"
"Delphi","宁波","1"
"Perl","宁波","0"
"Ruby","宁波","0"
"Hadoop","宁波","0"
"Node.js","宁波","2"
"JavaScript","宁波","2"
"U3D","宁波","0"
" COCOS2D-X","宁波","0"
"Android","宁波","31"
"iOS","宁波","30"
"WP","宁波","0"
"Java","常州","14"
"Python","常州","0"
"PHP","常州","18"
".NET","常州","7"
"C#","常州","1"
"C++","常州","3"
"C","常州","3"
"VB","常州","0"
"Delphi","常州","0"
"Perl","常州","0"
"Ruby","常州","0"
"Hadoop","常州","0"
"Node.js","常州","0"
"JavaScript","常州","0"
"U3D","常州","1"
" COCOS2D-X","常州","0"
"Android","常州","24"
"iOS","常州","22"
"WP","常州","0"
"Java","沈阳","58"
"Python","沈阳","0"
"PHP","沈阳","28"
".NET","沈阳","11"
"C#","沈阳","3"
"C++","沈阳","8"
"C","沈阳","11"
"VB","沈阳","0"
"Delphi","沈阳","1"
"Perl","沈阳","0"
"Ruby","沈阳","0"
"Hadoop","沈阳","0"
"Node.js","沈阳","0"
"JavaScript","沈阳","3"
"U3D","沈阳","0"
" COCOS2D-X","沈阳","0"
"Android","沈阳","29"
"iOS","沈阳","23"
"WP","沈阳","0"
"Java","石家庄","22"
"Python","石家庄","0"
"PHP","石家庄","39"
".NET","石家庄","9"
"C#","石家庄","1"
"C++","石家庄","1"
"C","石家庄","1"
"VB","石家庄","0"
"Delphi","石家庄","0"
"Perl","石家庄","0"
"Ruby","石家庄","0"
"Hadoop","石家庄","0"
"Node.js","石家庄","1"
"JavaScript","石家庄","0"
"U3D","石家庄","0"
" COCOS2D-X","石家庄","1"
"Android","石家庄","16"
"iOS","石家庄","13"
"WP","石家庄","0"
"Java","昆明","12"
"Python","昆明","1"
"PHP","昆明","10"
".NET","昆明","3"
"C#","昆明","0"
"C++","昆明","1"
"C","昆明","1"
"VB","昆明","0"
"Delphi","昆明","0"
"Perl","昆明","0"
"Ruby","昆明","0"
"Hadoop","昆明","0"
"Node.js","昆明","0"
"JavaScript","昆明","0"
"U3D","昆明","0"
" COCOS2D-X","昆明","0"
"Android","昆明","14"
"iOS","昆明","8"
"WP","昆明","0"
"Java","南昌","39"
"Python","南昌","4"
"PHP","南昌","22"
".NET","南昌","13"
"C#","南昌","2"
"C++","南昌","4"
"C","南昌","4"
"VB","南昌","0"
"Delphi","南昌","1"
"Perl","南昌","0"
"Ruby","南昌","1"
"Hadoop","南昌","0"
"Node.js","南昌","0"
"JavaScript","南昌","2"
"U3D","南昌","0"
" COCOS2D-X","南昌","1"
"Android","南昌","13"
"iOS","南昌","9"
"WP","南昌","0"
"Java","南宁","11"
"Python","南宁","4"
"PHP","南宁","20"
".NET","南宁","4"
"C#","南宁","1"
"C++","南宁","0"
"C","南宁","0"
"VB","南宁","0"
"Delphi","南宁","0"
"Perl","南宁","0"
"Ruby","南宁","0"
"Hadoop","南宁","0"
"Node.js","南宁","0"
"JavaScript","南宁","0"
"U3D","南宁","2"
" COCOS2D-X","南宁","0"
"Android","南宁","11"
"iOS","南宁","13"
"WP","南宁","0"
"Java","哈尔滨","16"
"Python","哈尔滨","1"
"PHP","哈尔滨","15"
".NET","哈尔滨","4"
"C#","哈尔滨","1"
"C++","哈尔滨","2"
"C","哈尔滨","2"
"VB","哈尔滨","0"
"Delphi","哈尔滨","0"
"Perl","哈尔滨","0"
"Ruby","哈尔滨","0"
"Hadoop","哈尔滨","0"
"Node.js","哈尔滨","1"
"JavaScript","哈尔滨","0"
"U3D","哈尔滨","0"
" COCOS2D-X","哈尔滨","0"
"Android","哈尔滨","10"
"iOS","哈尔滨","8"
"WP","哈尔滨","0"
"Java","海口","16"
"Python","海口","0"
"PHP","海口","2"
".NET","海口","2"
"C#","海口","0"
"C++","海口","0"
"C","海口","0"
"VB","海口","0"
"Delphi","海口","0"
"Perl","海口","0"
"Ruby","海口","0"
"Hadoop","海口","1"
"Node.js","海口","0"
"JavaScript","海口","1"
"U3D","海口","0"
" COCOS2D-X","海口","1"
"Android","海口","5"
"iOS","海口","2"
"WP","海口","0"
"Java","中山","14"
"Python","中山","0"
"PHP","中山","15"
".NET","中山","2"
"C#","中山","1"
"C++","中山","2"
"C","中山","2"
"VB","中山","0"
"Delphi","中山","0"
"Perl","中山","0"
"Ruby","中山","0"
"Hadoop","中山","1"
"Node.js","中山","0"
"JavaScript","中山","0"
"U3D","中山","1"
" COCOS2D-X","中山","0"
"Android","中山","9"
"iOS","中山","9"
"WP","中山","0"
"Java","惠州","7"
"Python","惠州","0"
"PHP","惠州","10"
".NET","惠州","2"
"C#","惠州","0"
"C++","惠州","0"
"C","惠州","0"
"VB","惠州","0"
"Delphi","惠州","0"
"Perl","惠州","0"
"Ruby","惠州","0"
"Hadoop","惠州","0"
"Node.js","惠州","0"
"JavaScript","惠州","0"
"U3D","惠州","0"
" COCOS2D-X","惠州","0"
"Android","惠州","12"
"iOS","惠州","4"
"WP","惠州","0"
"Java","贵阳","12"
