"positionId","positionName","companyId","companyShortName","positionFirstType","industryField","education","workYear","city","positionAdvantage","createTime","salary","leaderName","companyName","companySize","companyLogo","financeStage","jobNature","positionType","companyLabelList001","companyLabelList002","companyLabelList003","companyLabelList004","score","haveDeliver","adWord","randomScore","countAdjusted","calcScore","orderBy","showOrder","adjustScore","relScore","formatCreateTime","imstate","createTimeSort","positonTypesMap","hrScore","totalCount","searchScore","language"
"1230226","C++","9815","北京盛泰华夏科技有限公司","技术","移动互联网 · O2O","本科","3-5年","北京","员工持股；五险一金；团队nice；弹性工作制","2015-11-13 10:24:13","15k-30k","彭思立","美宅","50-150人","image1/M00/44/A9/CgYXBlXWv4uAOZsaAAC5iW-CyCA130.gif","成长型(A轮)","全职","后端开发","年终分红","绩效奖金","五险一金","带薪年假","1235","False","0","0","False","False","95","0","0","1000","1天前发布","null","1447381453000","null","140","0","0","C++"
"1253896","C++工程师","27129","巧达科技（北京）有限公司","技术","企业服务 · 数据服务","本科","1-3年","北京","钱多、有成长，有发展，就等你~","2015-11-13 10:23:25","10k-15k","刘炜","乔大招","50-150人","image1/M00/3D/93/CgYXBlW4pW-AL-CcAAAStAoXnEI801.jpg","成长型(A轮)","全职","后端开发","绩效奖金","股票期权","五险一金","节日礼物","1324","False","0","0","False","False","105","0","80","980","1天前发布","null","1447381405000","null","159","0","0","C++"
"1215730","C++高级软件工程师","85047","布比（北京）网络技术有限公司","技术","移动互联网 · 金融","本科","3-5年","北京","五险一金、弹性工作、旅游、股权激励计划","2015-11-13 10:21:02","12k-24k","暂没有填写","布比公司","15-50人","i/image/M00/00/34/CgqKkVYy5IOAb58uAAAUY5zy3ZM271.png","初创型(天使轮)","全职","后端开发","节日礼物","带薪年假","绩效奖金","五险一金","914","False","0","0","False","False","103","0","0","744","1天前发布","null","1447381262000","null","67","0","0","C++"
"1257474","C/C++","37185","北京鑫宇士力通信科技有限公司","技术","移动互联网","大专","1-3年","北京","五险一金 员工午餐 带薪年假 弹性工作","2015-11-13 10:20:14","8k-16k","暂没有填写","鑫宇士力","15-50人","image1/M00/00/59/Cgo8PFTUXTCAXTpsAAEH4LyEZpk242.jpg","初创型(未融资)","全职","后端开发","带薪年假","带薪病假","五险一金","员工午餐","1232","False","0","0","False","False","100","0","0","967","1天前发布","null","1447381214000","null","165","0","0","C++"
"627138","C++游戏客户端工程师","7816","金山西山居","技术","移动互联网","本科","3-5年","北京","福利有保障、紧紧的邻着地铁and棒棒哒项目~","2015-11-13 10:16:37","15k-30k","求伯君","金山西山居","500-2000人","image1/M00/00/10/Cgo8PFTUWC-ANgwzAABZvTuXBDQ454.jpg","上市公司","全职","前端开发","绩效奖金","年终分红","股票期权","五险一金","749","False","0","0","False","False","95","1433223991697","0","595","1天前发布","null","1447380997000","null","59","0","0","C++"
"627073","C++游戏服务器工程师","7816","金山西山居","技术","移动互联网","本科","3-5年","北京","福利有保障、紧紧的邻着地铁and棒棒哒项目~","2015-11-13 10:16:37","15k-30k","求伯君","金山西山居","500-2000人","image1/M00/00/10/Cgo8PFTUWC-ANgwzAABZvTuXBDQ454.jpg","上市公司","全职","后端开发","绩效奖金","年终分红","股票期权","五险一金","879","False","0","0","False","False","95","1433223991115","0","725","1天前发布","null","1447380997000","null","59","0","0","C++"
"415167","C++","25322","亚信科技（中国）有限公司","技术","移动互联网 · 数据服务","本科","1-3年","北京","五险一金 带薪年假 期权激励 绩效奖金","2015-11-13 10:14:39","10k-20k","田溯宁","亚信","2000人以上","image1/M00/44/54/CgYXBlXVQ6aAGXrAAABY2xXSS8I163.png","上市公司","全职","后端开发","年底双薪","技能培训","免费班车","带薪年假","1188","False","0","0","False","False","105","1428569978252","0","1000","1天前发布","null","1447380879000","null","83","0","0","C++"
"113288","服务端C++高级软件研发工程师","18049","北京都秀网络科技有限公司","技术","移动互联网 · 社交网络","本科","3-5年","北京","互动、分享、快乐，是工作也是娱乐！","2015-11-13 09:54:49","15k-30k","暂没有填写","都秀","50-150人","image1/M00/27/E0/CgYXBlVciAiAGKdSAAB-wV2q0rg112.png","成长型(不需要融资)","全职","后端开发","节日礼物","技能培训","股票期权","岗位晋升","818","False","0","0","False","False","105","1433211052720","0","591","1天前发布","null","1447379689000","null","122","0","0","C++"
"1098145","C++服务器工程师（RDC）","4286","竞技世界（北京）网络技术有限公司","技术","移动互联网 · 游戏","本科","3-5年","北京","食堂健身房书吧，旅游，丰厚过节费，福利多","2015-11-13 09:53:08","14k-20k","暂没有填写","竞技世界","500-2000人","image1/M00/00/0A/Cgo8PFTUWBeAP0x-AABLzvA2eJ0892.png","成熟型(不需要融资)","全职","后端开发","节日礼物","技能培训","年底双薪","年度旅游","902","False","0","0","False","False","108","0","0","750","1天前发布","null","1447379588000","null","44","0","0","C++"
"975776","高级服务器开发工程师（C++）（NBDBU）","4286","竞技世界（北京）网络技术有限公司","技术","移动互联网 · 游戏","本科","3-5年","北京","公司发展稳定，管理规范，福利全面","2015-11-13 09:52:59","15k-25k","暂没有填写","竞技世界","500-2000人","image1/M00/00/0A/Cgo8PFTUWBeAP0x-AABLzvA2eJ0892.png","成熟型(不需要融资)","全职","后端开发","节日礼物","技能培训","年底双薪","年度旅游","795","False","0","0","False","False","108","0","0","643","1天前发布","null","1447379579000","null","44","0","0","C++"
